UserIP_Anonymized,Scenario,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Outcome,Continent
0071dea2,Loop,21,Men,College,0.59,0,DK,0,Europe
0071dea2,Switch,21,Men,College,0.59,0,DK,1,Europe
0072562e,Footbridge,24,Men,College,0.83,0,CA,1,Americas
0072562e,Loop,24,Men,College,0.83,0,CA,0,Americas
0072562e,Switch,24,Men,College,0.83,0,CA,0,Americas
00729912,Footbridge,23,Men,College,0.8,0.19,RU,0,Europe
00729912,Loop,23,Men,College,0.8,0.19,RU,1,Europe
00729912,Switch,23,Men,College,0.8,0.19,RU,1,Europe
0073aff4,Footbridge,23,Men,College,0.75,0.5,BR,1,Americas
0073aff4,Loop,23,Men,College,0.75,0.5,BR,1,Americas
0073aff4,Switch,23,Men,College,0.75,0.5,BR,1,Americas
007400f6,Footbridge,25,Men,No College,0.7,0,DE,0,Europe
007400f6,Loop,25,Men,No College,0.7,0,DE,1,Europe
007400f6,Switch,25,Men,No College,0.7,0,DE,1,Europe
0076ccbf,Footbridge,18,Women,No College,0.89,0,US,1,Americas
0076ccbf,Loop,18,Women,No College,0.89,0,US,1,Americas
0076ccbf,Switch,18,Women,No College,0.89,0,US,1,Americas
00782f99,Footbridge,26,Men,College,0.5,0.5,CO,0,Americas
00782f99,Loop,26,Men,College,0.5,0.5,CO,0,Americas
00782f99,Switch,26,Men,College,0.5,0.5,CO,1,Americas
008100be,Footbridge,19,Men,No College,0.52,0,DE,1,Europe
008100be,Loop,19,Men,No College,0.52,0,DE,1,Europe
008100be,Switch,19,Men,No College,0.52,0,DE,1,Europe
00845d93,Footbridge,38,Men,College,0.5,0,RU,1,Europe
00845d93,Loop,38,Men,College,0.5,0,RU,1,Europe
00845d93,Switch,38,Men,College,0.5,0,RU,1,Europe
0084ff8e,Footbridge,18,Men,No College,0.5,1,US,0,Americas
0084ff8e,Loop,18,Men,No College,0.5,1,US,0,Americas
0084ff8e,Switch,18,Men,No College,0.5,1,US,0,Americas
0088b44e,Footbridge,20,Men,No College,0.98,0,DE,0,Europe
0088b44e,Loop,20,Men,No College,0.98,0,DE,1,Europe
0088b44e,Switch,20,Men,No College,0.98,0,DE,1,Europe
008f2920,Footbridge,27,Men,College,0.62,0,BR,1,Americas
008f2920,Loop,27,Men,College,0.62,0,BR,0,Americas
008f2920,Switch,27,Men,College,0.62,0,BR,1,Americas
00938c94,Footbridge,51,Men,College,0.7,0.56,DE,0,Europe
00938c94,Loop,51,Men,College,0.7,0.56,DE,1,Europe
00938c94,Switch,51,Men,College,0.7,0.56,DE,1,Europe
00958d0e,Footbridge,25,Men,College,0.5,0.5,US,1,Americas
00958d0e,Loop,25,Men,College,0.5,0.5,US,1,Americas
00958d0e,Switch,25,Men,College,0.5,0.5,US,1,Americas
00986ac1,Footbridge,21,Men,College,0.5,0,PH,0,Asia
00986ac1,Loop,21,Men,College,0.5,0,PH,1,Asia
00986ac1,Switch,21,Men,College,0.5,0,PH,1,Asia
0098f032,Loop,62,Men,No College,0.74,0,BE,1,Europe
0098f032,Switch,62,Men,No College,0.74,0,BE,1,Europe
009a9de1,Footbridge,19,Women,College,0.75,0.5,TW,0,Asia
009a9de1,Loop,19,Women,College,0.75,0.5,TW,1,Asia
009a9de1,Switch,19,Women,College,0.75,0.5,TW,1,Asia
009cb0dd,Footbridge,19,Women,No College,0.31,0.38,BR,0,Americas
009cb0dd,Loop,19,Women,No College,0.31,0.38,BR,1,Americas
009cb0dd,Switch,19,Women,No College,0.31,0.38,BR,1,Americas
009e2507,Footbridge,24,Men,College,1,0,RU,0,Europe
009e2507,Loop,24,Men,College,1,0,RU,1,Europe
009e2507,Switch,24,Men,College,1,0,RU,1,Europe
00a22ad0,Footbridge,20,Women,No College,1,0,FR,0,Europe
00a22ad0,Loop,20,Women,No College,1,0,FR,1,Europe
00a22ad0,Switch,20,Women,No College,1,0,FR,1,Europe
00a33af1,Footbridge,35,Women,No College,0.73,0,FR,0,Europe
00a33af1,Loop,35,Women,No College,0.73,0,FR,0,Europe
00a33af1,Switch,35,Women,No College,0.73,0,FR,0,Europe
00a8c05f,Footbridge,22,Women,College,0.5,0.5,KR,0,Asia
00a8c05f,Loop,22,Women,College,0.5,0.5,KR,0,Asia
00a8c05f,Switch,22,Women,College,0.5,0.5,KR,0,Asia
00a97121,Footbridge,40,Men,College,0.63,0.21,ES,0,Europe
00a97121,Loop,40,Men,College,0.63,0.21,ES,1,Europe
00a97121,Switch,40,Men,College,0.63,0.21,ES,1,Europe
00aa3e70,Footbridge,39,Men,College,0.69,0.13,PL,1,Europe
00aa3e70,Loop,39,Men,College,0.69,0.13,PL,1,Europe
00aa3e70,Switch,39,Men,College,0.69,0.13,PL,1,Europe
00af80a4,Footbridge,25,Men,No College,0.99,0,RU,0,Europe
00af80a4,Loop,25,Men,No College,0.99,0,RU,1,Europe
00af80a4,Switch,25,Men,No College,0.99,0,RU,1,Europe
00b61c44,Footbridge,18,Men,No College,0.5,0.5,MY,0,Asia
00b61c44,Loop,18,Men,No College,0.5,0.5,MY,0,Asia
00b61c44,Switch,18,Men,No College,0.5,0.5,MY,0,Asia
00b64dbb,Footbridge,35,Men,College,0.85,0.59,IT,0,Europe
00b64dbb,Loop,35,Men,College,0.85,0.59,IT,1,Europe
00b64dbb,Switch,35,Men,College,0.85,0.59,IT,1,Europe
00b86094,Footbridge,18,Men,No College,0.55,0.5,CO,1,Americas
00b86094,Loop,18,Men,No College,0.55,0.5,CO,1,Americas
00b86094,Switch,18,Men,No College,0.55,0.5,CO,1,Americas
00b87bcc,Footbridge,25,Men,College,0.5,0.5,FR,0,Europe
00b87bcc,Loop,25,Men,College,0.5,0.5,FR,0,Europe
00b87bcc,Switch,25,Men,College,0.5,0.5,FR,1,Europe
